id,name,approach_date,absolute_magnitude_h,est_diameter_min_km,est_diameter_max_km,is_potentially_hazardous,relative_velocity_kph,miss_distance_km,miss_distance_lunar,orbiting_body,avg_diameter_km,approach_month,size_category
3758923,(2016 RB1),2025-09-06,28.3,0.0058150704,0.0130028927,False,42892.8326278297,24863512.896500744,64.6527020521,Earth,0.009408981549999999,2025-09,small
3740664,(2016 BQ),2025-09-05,26.54,0.0130784109,0.0292442157,False,68244.6785265551,72736928.53895985,189.1381555209,Earth,0.021161313299999998,2025-09,small
3803758,(2018 GW4),2025-09-05,22.07,0.1024601475,0.2291078547,False,71193.7791451516,48727257.51315285,126.7057022444,Earth,0.1657840011,2025-09,medium
3893638,(2019 WC4),2025-09-05,22.4,0.0880146521,0.1968067451,False,98182.1713187945,59860574.39428734,155.6557151474,Earth,0.1424106986,2025-09,medium
54017196,(2020 KO3),2025-09-05,20.19,0.2435314063,0.5445527791,True,37585.7100959364,23663222.10580584,61.5315806245,Earth,0.3940420927,2025-09,large
2826387,826387 (2020 KO3),2025-09-05,20.18,0.2446554962,0.5470663205,True,37585.7073568922,23663236.67663837,61.5316185131,Earth,0.39586090835,2025-09,large
3546741,(2010 SJ),2025-09-04,23.8,0.046190746,0.1032856481,False,23515.6118870024,19383792.4502555,50.40376085,Earth,0.07473819705,2025-09,medium
3550117,(2010 VB),2025-09-04,25.6,0.0201629919,0.0450858206,False,27615.7624165859,34979803.363910854,90.9581366938,Earth,0.03262440625,2025-09,small
3656929,(2014 BG25),2025-09-04,25.3,0.0231502122,0.0517654482,False,42775.1998223274,51240050.078223534,133.2397278145,Earth,0.0374578302,2025-09,small
3759721,(2016 SX1),2025-09-04,28.6,0.0050647146,0.0113250461,False,50941.3871800138,54920292.497823976,142.8094783813,Earth,0.00819488035,2025-09,small
3843282,(2019 NH6),2025-09-04,24.63,0.0315177333,0.0704757942,False,6946.1320156109,17193300.881568234,44.7078159798,Earth,0.05099676375,2025-09,medium
3843884,(2019 SN),2025-09-04,25.54,0.0207278843,0.0463489584,False,38701.6585081902,21468669.2691036,55.8250752212,Earth,0.03353842135,2025-09,small
54602274,(2025 OB342),2025-09-04,24.63,0.0315177333,0.0704757942,False,6944.5084256023,17186260.087736256,44.6895077726,Earth,0.05099676375,2025-09,medium
3255328,(2004 SU55),2025-09-09,24.7,0.0305179233,0.0682401509,False,28704.0984438443,31004471.501284253,80.6210637491,Earth,0.0493790371,2025-09,small
3472700,(2009 UZ87),2025-09-09,25.9,0.0175612318,0.0392681082,False,11994.5107323522,26847103.026366,69.8106402,Earth,0.02841467,2025-09,small
3728524,(2015 SZ),2025-09-09,23.5,0.0530340723,0.1185877909,False,60100.4203184038,53030613.98666907,137.895739029,Earth,0.0858109316,2025-09,medium
3752409,(2016 HF2),2025-09-09,26.1,0.0160160338,0.0358129403,False,54046.513631741,48118248.12985237,125.1220924637,Earth,0.025914487049999997,2025-09,small
3824978,(2018 KS),2025-09-09,27.9,0.0069912523,0.0156329154,False,25044.842811394,36219165.91685534,94.1808565968,Earth,0.01131208385,2025-09,small
3840690,(2019 FR),2025-09-09,24.0,0.0421264611,0.0941976306,False,68303.5999200763,74421043.5398431,193.5173671724,Earth,0.06816204584999999,2025-09,medium
3841704,(2019 JG1),2025-09-09,26.6,0.0127219879,0.0284472297,False,28456.4986183759,7214268.673931599,18.7592945953,Earth,0.0205846088,2025-09,small
3843526,(2019 PC2),2025-09-09,25.5,0.0211132445,0.0472106499,False,58988.4026978012,64898950.217112646,168.7570259821,Earth,0.0341619472,2025-09,small
3989089,(2020 BG5),2025-09-09,23.7,0.0483676488,0.1081533507,False,54129.7605944592,59276659.27577044,154.1373580939,Earth,0.07826049975,2025-09,medium
3046125,(2000 QV7),2025-09-08,21.55,0.1301832102,0.2910985075,True,106728.6488688101,68214230.50158624,177.3777639021,Earth,0.21064085885,2025-09,large
3766128,(2016 YK4),2025-09-08,26.1,0.0160160338,0.0358129403,False,35330.1615585947,52532762.43300445,136.6011734421,Earth,0.025914487049999997,2025-09,small
3873152,(2019 SJ9),2025-09-08,27.1,0.0101054342,0.0225964377,False,49072.0807617606,34891275.12927096,90.7279363355,Earth,0.01635093595,2025-09,small
3878598,(2019 TW3),2025-09-08,22.6,0.0802703167,0.1794898848,False,6570.956842557,63068782.696070105,163.9980333194,Earth,0.12988010075,2025-09,medium
54602504,(2025 PZ160),2025-09-08,24.944,0.0272743856,0.0609873803,False,23034.1176265019,14007132.669414915,36.4228087499,Earth,0.04413088295,2025-09,small
3313157,(2006 BA),2025-09-13,27.6,0.0080270317,0.0179489885,False,24896.5983682695,52848882.613871366,137.4231821402,Earth,0.012988010099999999,2025-09,small
3607530,(2012 PB20),2025-09-13,24.79,0.0292789148,0.0654696439,False,13298.2027460503,21275326.094676703,55.3223241135,Earth,0.04737427935,2025-09,small
3727640,(2015 SA),2025-09-13,25.3,0.0231502122,0.0517654482,False,32591.5672034661,3935342.496962013,10.2330884211,Earth,0.0374578302,2025-09,small
3759318,(2016 RT20),2025-09-13,24.4,0.0350392641,0.0783501764,False,60050.2856979953,36811369.10144535,95.720765145,Earth,0.05669472025,2025-09,medium
3819564,(2018 HW1),2025-09-13,25.8,0.0183888672,0.0411187571,False,18950.7748531098,37818225.64253011,98.3388986417,Earth,0.02975381215,2025-09,small
3623681,(2013 AW52),2025-09-12,20.02,0.263363131,0.5888978636,False,75901.8970843085,69324926.73898369,180.2659122183,Earth,0.42613049729999997,2025-09,large
3648000,(2013 RQ43),2025-09-12,24.03,0.0415484643,0.0929051906,False,35801.5666227863,51137943.95194799,132.9742208048,Earth,0.06722682745,2025-09,medium
3744562,(2016 CO248),2025-09-12,27.5,0.008405334,0.0187948982,False,22761.2422103202,31349125.29172477,81.5172685178,Earth,0.0136001161,2025-09,small
3748519,(2016 FW14),2025-09-12,20.71,0.191670368,0.428587972,False,42797.5970492617,16448053.9298015,42.76994705,Earth,0.31012917,2025-09,large
3774114,(2017 HG4),2025-09-12,27.7,0.0076657557,0.0171411509,False,20741.2915964071,34942385.76514901,90.860839547,Earth,0.012403453299999999,2025-09,small
3343104,(2006 SP19),2025-09-11,24.22,0.0380675544,0.0851216393,False,23168.947809459,19791845.96759989,51.4648242077,Earth,0.06159459685,2025-09,medium
3451790,(2009 FF),2025-09-11,21.98,0.1067959975,0.2388031102,True,46535.6902948686,2613234.789037159,6.7952059273,Earth,0.17279955385,2025-09,medium
3684637,(2014 QY363),2025-09-11,21.81,0.1154928176,0.258249791,False,40505.3656241774,29773713.862701524,77.4207192428,Earth,0.1868713043,2025-09,medium
3991699,(2020 DX1),2025-09-11,26.5,0.0133215567,0.0297879063,False,24499.2988009887,21340331.82951396,55.491358812,Earth,0.0215547315,2025-09,small
2876954,876954 (2009 FF),2025-09-11,21.97,0.1072889455,0.2399053753,True,46535.6898408359,2613234.789037159,6.7952059273,Earth,0.1735971604,2025-09,medium
3092339,(2001 SQ263),2025-09-16,22.52,0.0832827346,0.1862258558,False,43274.3037270581,18321939.169423703,47.6426190888,Earth,0.1347542952,2025-09,medium
3467261,(2009 SL2),2025-09-16,22.3,0.0921626549,0.2060819612,False,72675.3141819688,55651517.40187902,144.7108857187,Earth,0.14912230804999999,2025-09,medium
3520758,(2010 HX107),2025-09-16,23.54,0.0520660914,0.1164233197,False,42994.7535259188,58774835.53962242,152.8324636234,Earth,0.08424470554999999,2025-09,medium
3836314,(2018 WX1),2025-09-16,24.14,0.0394961694,0.0883161196,False,29720.2732466997,66616228.91156556,173.222473332,Earth,0.06390614450000001,2025-09,medium
2875236,875236 (2001 SQ263),2025-09-16,22.52,0.0832827346,0.1862258558,False,43274.3036680645,18321939.19934328,47.6426191666,Earth,0.1347542952,2025-09,medium
3467394,(2009 SG18),2025-09-15,17.67,0.777239702,1.7379608086,True,123600.5148535326,17071549.06933131,44.3912242064,Earth,1.2576002553,2025-09,large
3831725,(2018 TS4),2025-09-15,27.6,0.0080270317,0.0179489885,False,35265.7166169033,39846277.590780415,103.6124510517,Earth,0.012988010099999999,2025-09,small
3836201,(2018 VL7),2025-09-15,20.86,0.1788771952,0.3999815682,False,31465.9630568958,26464277.09542693,68.8151762463,Earth,0.2894293817,2025-09,large
3440393,(2008 WL61),2025-09-10,19.87,0.2821986791,0.6310154296,False,23760.2399492178,20279701.720706437,52.7333976704,Earth,0.45660705435000004,2025-09,large
3545514,(2010 QA5),2025-09-10,22.16,0.0983003302,0.2198062205,False,73158.0635526847,20186093.306959,52.4899873,Earth,0.15905327535,2025-09,medium
3728732,(2015 SJ7),2025-09-10,25.5,0.0211132445,0.0472106499,False,58524.4681420838,28399553.007438265,73.8474827208,Earth,0.0341619472,2025-09,small
3781587,(2017 SH2),2025-09-10,23.77,0.0468333233,0.1047224945,False,17515.8857611254,28235972.733162124,73.4221242134,Earth,0.0757779089,2025-09,medium
54554706,(2025 US6),2025-09-10,31.008,0.0016709174,0.0037362848,False,6997.9128126702,150841.656610754,0.3922342238,Earth,0.0027036011,2025-09,small
2482234,482234 (2011 CG71),2025-09-23,22.52,0.0832827346,0.1862258558,False,26358.1936021092,74357598.948538,193.3523919223,Earth,0.1347542952,2025-09,medium
3429819,(2008 TD2),2025-09-23,22.17,0.0978486812,0.2187963027,False,25259.9433599409,10316120.355078071,26.8250531784,Earth,0.15832249195,2025-09,medium
3744994,(2016 ED),2025-09-23,23.7,0.0483676488,0.1081533507,False,64999.9787499821,54204197.06963288,140.9474122866,Earth,0.07826049975,2025-09,medium
3827143,(2018 QT1),2025-09-23,22.1,0.1010543415,0.2259643771,False,45547.7065768174,5032225.525274287,13.0853181889,Earth,0.1635093593,2025-09,medium
3985571,(2020 AV2),2025-09-23,16.17,1.5507970872,3.4676877062,False,34197.3987706808,53169998.73528524,138.2581818045,Earth,2.5092423967,2025-09,large
2876588,876588 (2008 TD2),2025-09-23,22.23,0.095182033,0.212833496,False,25259.9433525062,10316120.355078071,26.8250531784,Earth,0.1540077645,2025-09,medium
3143095,(2002 VU114),2025-09-22,22.8,0.0732073989,0.1636967205,False,29409.5913476974,66046077.545078,171.7399062235,Earth,0.1184520597,2025-09,medium
3335049,(2006 KN89),2025-09-22,21.41,0.138852907,0.310484539,True,36745.4075067792,21483141.860720366,55.8627083649,Earth,0.22466872300000001,2025-09,large
3546703,(2010 SE),2025-09-22,24.4,0.0350392641,0.0783501764,False,40771.1460487424,18159162.624663923,47.2193505228,Earth,0.05669472025,2025-09,medium
3612169,(2012 UV9),2025-09-22,23.12,0.0631764148,0.1412667581,False,30774.5601210303,6224849.335372973,16.1865031331,Earth,0.10222158645,2025-09,medium
3803760,(2018 GC5),2025-09-22,26.1,0.0160160338,0.0358129403,False,24776.1215580478,59612634.44497865,155.0109958056,Earth,0.025914487049999997,2025-09,small
2455594,455594 (2004 SV55),2025-09-18,17.91,0.6959130436,1.5561088719,False,116578.7204795197,24770362.027838707,64.4104814382,Earth,1.12601095775,2025-09,large
3552654,(2010 WU8),2025-09-18,24.2,0.0384197891,0.0859092601,False,25134.0085787039,9322729.148191584,24.2419336495,Earth,0.06216452459999999,2025-09,medium
3728565,(2015 SO2),2025-09-18,23.9,0.04411182,0.0986370281,False,58858.1362863025,64943242.10727716,168.8721983791,Earth,0.07137442405,2025-09,medium
